id,title,author,publisher,category,stock,borrowed,totalBorrowed
1,C++程序设计,谭浩强,机械工业出版社,电子信息,5,2,55
2,数据结构,严蔚敏,科学出版社,外语,23,4,36
3,计算机网络,吴军,国防工业出版社,人工智能,15,0,9
4,操作系统,周志华,人民邮电出版社,自动化,15,2,80
5,数据库系统概论,李航,高等教育出版社,物理,21,8,62
6,Python编程从入门到实践,王珊,西安电子科技大学出版社,软件工程,12,4,31
7,算法导论,张海藩,北京大学出版社,机械工程,13,5,57
8,软件工程导论,谢希仁,电子工业出版社,化学,20,4,68
9,人工智能基础,同济大学数学系,中国水利水电出版社,数学,7,6,79
10,机器学习,刘卫国,清华大学出版社,经济管理,9,5,57
11,深度学习,郑莉,机械工业出版社,历史,22,4,11
12,数字信号处理,钱能,科学出版社,通信工程,25,8,40
13,通信原理,黄达,国防工业出版社,文学,11,5,8
14,电路分析基础,唐朔飞,人民邮电出版社,计算机,5,4,77
15,模拟电子技术,陈火旺,高等教育出版社,电子信息,24,0,2
16,数字电子技术,谭浩强,西安电子科技大学出版社,外语,8,7,42
17,自动控制原理,严蔚敏,北京大学出版社,人工智能,21,0,25
18,微机原理与接口技术,吴军,电子工业出版社,自动化,9,8,54
19,高等数学,周志华,中国水利水电出版社,物理,20,6,41
20,线性代数,李航,清华大学出版社,软件工程,9,1,80
21,概率论与数理统计,王珊,机械工业出版社,机械工程,4,3,76
22,离散数学,张海藩,科学出版社,化学,8,0,29
23,大学物理,谢希仁,国防工业出版社,数学,19,8,10
24,工程制图,同济大学数学系,人民邮电出版社,经济管理,24,1,22
25,管理学原理,刘卫国,高等教育出版社,历史,14,1,81
26,经济学基础,郑莉,西安电子科技大学出版社,通信工程,9,3,70
27,大学英语,钱能,北京大学出版社,文学,15,5,10
28,现代汉语,黄达,电子工业出版社,计算机,4,4,51
29,中国近现代史纲要,唐朔飞,中国水利水电出版社,电子信息,4,1,17
30,马克思主义基本原理,陈火旺,清华大学出版社,外语,19,8,10
31,编译原理,谭浩强,机械工业出版社,人工智能,7,3,40
32,计算机组成原理,严蔚敏,科学出版社,自动化,4,0,52
33,Java程序设计,吴军,国防工业出版社,物理,11,7,55
34,Web前端开发,周志华,人民邮电出版社,软件工程,16,1,64
35,Linux系统管理,李航,高等教育出版社,机械工程,24,3,58
36,网络安全技术,王珊,西安电子科技大学出版社,化学,10,2,9
37,信息检索,张海藩,北京大学出版社,数学,13,2,56
38,数据挖掘,谢希仁,电子工业出版社,经济管理,8,6,53
39,模式识别,同济大学数学系,中国水利水电出版社,历史,22,7,74
40,自然语言处理,刘卫国,清华大学出版社,通信工程,12,5,17
41,嵌入式系统设计,郑莉,机械工业出版社,文学,17,4,13
42,单片机原理,钱能,科学出版社,计算机,23,2,41
43,传感器技术,黄达,国防工业出版社,电子信息,4,1,57
44,信号与系统,唐朔飞,人民邮电出版社,外语,20,0,32
45,图像处理基础,陈火旺,高等教育出版社,人工智能,24,6,53
46,云计算技术,谭浩强,西安电子科技大学出版社,自动化,14,6,15
47,大数据技术,严蔚敏,北京大学出版社,物理,5,5,40
48,软件测试,吴军,电子工业出版社,软件工程,21,5,22
49,项目管理,周志华,中国水利水电出版社,机械工程,9,3,52
50,人机交互设计,李航,清华大学出版社,化学,7,1,39
51,C++程序设计（第2版）,王珊,机械工业出版社,数学,10,8,12
52,数据结构（第2版）,张海藩,科学出版社,经济管理,17,4,66
53,计算机网络（第2版）,谢希仁,国防工业出版社,历史,18,2,38
54,操作系统（第2版）,同济大学数学系,人民邮电出版社,通信工程,18,1,73
55,数据库系统概论（第2版）,刘卫国,高等教育出版社,文学,9,8,20
56,Python编程从入门到实践（第2版）,郑莉,西安电子科技大学出版社,计算机,9,4,18
57,算法导论（第2版）,钱能,北京大学出版社,电子信息,19,8,49
58,软件工程导论（第2版）,黄达,电子工业出版社,外语,20,4,26
59,人工智能基础（第2版）,唐朔飞,中国水利水电出版社,人工智能,20,3,36
60,机器学习（第2版）,陈火旺,清华大学出版社,自动化,24,3,14
61,深度学习（第2版）,谭浩强,机械工业出版社,物理,14,6,48
62,数字信号处理（第2版）,严蔚敏,科学出版社,软件工程,10,3,54
63,通信原理（第2版）,吴军,国防工业出版社,机械工程,3,0,72
64,电路分析基础（第2版）,周志华,人民邮电出版社,化学,9,2,70
65,模拟电子技术（第2版）,李航,高等教育出版社,数学,5,1,1
66,数字电子技术（第2版）,王珊,西安电子科技大学出版社,经济管理,6,4,81
67,自动控制原理（第2版）,张海藩,北京大学出版社,历史,8,5,49
68,微机原理与接口技术（第2版）,谢希仁,电子工业出版社,通信工程,18,0,71
69,高等数学（第2版）,同济大学数学系,中国水利水电出版社,文学,7,5,74
70,线性代数（第2版）,刘卫国,清华大学出版社,计算机,15,7,46
71,概率论与数理统计（第2版）,郑莉,机械工业出版社,电子信息,24,2,44
72,离散数学（第2版）,钱能,科学出版社,外语,22,5,69
73,大学物理（第2版）,黄达,国防工业出版社,人工智能,7,4,7
74,工程制图（第2版）,唐朔飞,人民邮电出版社,自动化,10,5,53
75,管理学原理（第2版）,陈火旺,高等教育出版社,物理,4,0,78
76,经济学基础（第2版）,谭浩强,西安电子科技大学出版社,软件工程,4,4,76
77,大学英语（第2版）,严蔚敏,北京大学出版社,机械工程,5,1,16
78,现代汉语（第2版）,吴军,电子工业出版社,化学,10,1,32
79,中国近现代史纲要（第2版）,周志华,中国水利水电出版社,数学,22,2,47
80,马克思主义基本原理（第2版）,李航,清华大学出版社,经济管理,13,1,73
81,编译原理（第2版）,王珊,机械工业出版社,历史,23,1,21
82,计算机组成原理（第2版）,张海藩,科学出版社,通信工程,10,4,36
83,Java程序设计（第2版）,谢希仁,国防工业出版社,文学,13,3,39
84,Web前端开发（第2版）,同济大学数学系,人民邮电出版社,计算机,9,5,68
85,Linux系统管理（第2版）,刘卫国,高等教育出版社,电子信息,11,7,36
86,网络安全技术（第2版）,郑莉,西安电子科技大学出版社,外语,24,8,57
87,信息检索（第2版）,钱能,北京大学出版社,人工智能,16,2,68
88,数据挖掘（第2版）,黄达,电子工业出版社,自动化,6,1,14
89,模式识别（第2版）,唐朔飞,中国水利水电出版社,物理,4,1,69
90,自然语言处理（第2版）,陈火旺,清华大学出版社,软件工程,8,4,63
91,嵌入式系统设计（第2版）,谭浩强,机械工业出版社,机械工程,17,0,14
92,单片机原理（第2版）,严蔚敏,科学出版社,化学,9,7,37
93,传感器技术（第2版）,吴军,国防工业出版社,数学,10,1,75
94,信号与系统（第2版）,周志华,人民邮电出版社,经济管理,3,0,3
95,图像处理基础（第2版）,李航,高等教育出版社,历史,19,0,66
96,云计算技术（第2版）,王珊,西安电子科技大学出版社,通信工程,22,5,23
97,大数据技术（第2版）,张海藩,北京大学出版社,文学,6,0,28
98,软件测试（第2版）,谢希仁,电子工业出版社,计算机,5,2,25
99,项目管理（第2版）,同济大学数学系,中国水利水电出版社,电子信息,5,5,29
100,人机交互设计（第2版）,刘卫国,清华大学出版社,外语,14,7,37
